date,overnight
2020-06-01,0.242
2020-05-29,0.246
2020-05-28,0.2358
2020-05-27,0.2386
2020-05-26,0.2393
2020-05-25,0.2402
2020-05-22,0.2383
2020-05-21,0.2323
2020-05-20,0.2295
2020-05-19,0.2219
2020-05-18,0.2233
2020-05-15,0.2233
2020-05-14,0.2233
2020-05-13,0.2259
2020-05-12,0.2258
2020-05-11,0.2212
2020-05-08,0.2179
2020-05-07,0.2193
2020-05-06,0.2108
2020-05-05,0.2316
2020-05-04,0.239
2020-05-01,0.2328
2020-04-30,0.2332
2020-04-29,0.2228
2020-04-28,0.2281
2020-04-27,0.2378
2020-04-24,0.2438
2020-04-23,0.2183
2020-04-22,0.202
2020-04-21,0.2253
2020-04-20,0.2253
2020-04-17,0.2249
2020-04-16,0.2309
2020-04-15,0.2234
2020-04-14,0.2336
2020-04-13,0.2464
2020-04-10,0.2411
2020-04-09,0.2411
2020-04-08,0.2464
2020-04-07,0.249
2020-04-06,0.2479
2020-04-03,0.2488
2020-04-02,0.2456
2020-04-01,0.2471
2020-03-31,0.2439
2020-03-30,0.2475
2020-03-27,0.3098
2020-03-26,0.7449
2020-03-25,0.7456
2020-03-24,0.75
2020-03-23,0.7095
2020-03-20,0.7441
2020-03-19,0.7468
2020-03-18,0.7506
2020-03-17,0.751
2020-03-16,0.7463
2020-03-13,1.2464
2020-03-12,1.2446
2020-03-11,1.2496
2020-03-10,1.2496
2020-03-09,1.2471
2020-03-06,1.2497
2020-03-05,1.25
2020-03-04,1.25
2020-03-03,1.7491
2020-03-02,1.7483
2020-02-28,1.7489
2020-02-27,1.7491
2020-02-26,1.7492
2020-02-25,1.7484
2020-02-24,1.748
2020-02-21,1.7484
2020-02-20,1.7484
2020-02-19,1.7488
2020-02-18,1.7488
2020-02-17,1.7497
2020-02-14,1.7497
2020-02-13,1.7489
2020-02-12,1.7491
2020-02-11,1.7481
2020-02-10,1.7486
2020-02-07,1.7487
2020-02-06,1.7487
2020-02-05,1.7472
2020-02-04,1.7467
2020-02-03,1.7484
2020-01-31,1.7491
2020-01-30,1.7494
2020-01-29,1.7485
2020-01-28,1.7492
2020-01-27,1.7481
2020-01-24,1.7491
2020-01-23,1.7479
2020-01-22,1.7483
2020-01-21,1.7487
2020-01-20,1.7491
2020-01-17,1.7466
2020-01-16,1.7482
2020-01-15,1.7483
2020-01-14,1.75
2020-01-13,1.7489
2020-01-10,1.7477
2020-01-09,1.7483
2020-01-08,1.7469
2020-01-07,1.7493
2020-01-06,1.7491
2020-01-03,1.7491
2020-01-02,1.7491
2020-01-01,1.7513
2019-12-31,1.7513
2019-12-30,1.7475
2019-12-27,1.746
2019-12-26,1.748
2019-12-25,1.748
2019-12-24,1.748
2019-12-23,1.7445
2019-12-20,1.749
2019-12-19,1.7478
2019-12-18,1.7473
2019-12-17,1.7481
2019-12-16,1.7482
2019-12-13,1.7497
2019-12-12,1.749
2019-12-11,1.7469
2019-12-10,1.7494
2019-12-09,1.7491
2019-12-06,1.7486
2019-12-05,1.7479
2019-12-04,1.7474
2019-12-03,1.7484
2019-12-02,1.7469
2019-11-29,1.749
2019-11-28,1.7477
2019-11-27,1.7479
2019-11-26,1.7494
2019-11-25,1.7479
2019-11-22,1.749
2019-11-21,1.7486
2019-11-20,1.7489
2019-11-19,1.748
2019-11-18,1.7492
2019-11-15,1.7473
2019-11-14,1.7497
2019-11-13,1.7493
2019-11-12,1.7491
2019-11-11,1.7489
2019-11-08,1.7489
2019-11-07,1.7485
2019-11-06,1.7471
2019-11-05,1.7471
2019-11-04,1.7483
2019-11-01,1.7483
2019-10-31,1.75
2019-10-30,1.7496
2019-10-29,1.7367
2019-10-28,1.7487
2019-10-25,1.7492
2019-10-24,1.748
2019-10-23,1.7486
2019-10-22,1.7481
2019-10-21,1.7476
2019-10-18,1.7475
2019-10-17,1.7484
2019-10-16,1.7482
2019-10-15,1.7496
2019-10-14,1.7478
2019-10-11,1.7478
2019-10-10,1.7487
2019-10-09,1.7495
2019-10-08,1.7466
2019-10-07,1.7478
2019-10-04,1.7496
2019-10-03,1.7496
2019-10-02,1.7494
2019-10-01,1.7478
2019-09-30,1.7483
2019-09-27,1.7463
2019-09-26,1.7451
2019-09-25,1.7424
2019-09-24,1.7466
2019-09-23,1.7416
2019-09-20,1.7479
2019-09-19,1.7438
2019-09-18,1.7489
2019-09-17,1.744
2019-09-16,1.747
2019-09-13,1.7495
2019-09-12,1.7461
