Date,Open,High,Low,Close,Adj Close,Volume
2011-01-04,18.074596,18.306452,18.074596,18.266129,13.925014,2579
2011-01-05,18.205645,18.205645,18.195564,18.195564,13.871219,3174
2011-01-06,18.356855,18.356855,18.145161,18.145161,13.832796,2778
2011-01-07,18.145161,18.145161,17.852823,18.125000,13.817426,5059
2011-01-10,18.125000,18.125000,17.852823,17.852823,13.609935,1091
2011-01-11,18.145161,18.155243,18.145161,18.155243,13.840484,992
2011-01-12,18.155243,18.175404,18.135080,18.175404,13.855848,8730
2011-01-13,18.175404,18.175404,18.175404,18.175404,13.855848,0
2011-01-14,18.276211,18.639112,18.276211,18.548388,14.140188,3075
2011-01-17,18.729839,18.840727,18.719757,18.840727,14.363052,1587
2011-01-18,18.689516,18.830645,18.649195,18.830645,14.355368,4464
2011-01-19,18.780243,18.780243,18.760080,18.760080,14.301579,1389
2011-01-20,18.760080,18.780243,18.497984,18.649195,14.217041,1488
2011-01-21,18.417339,18.719757,18.417339,18.649195,14.217041,595
2011-01-24,18.548388,18.548388,18.548388,18.548388,14.140188,1885
2011-01-25,18.558468,18.649195,18.518145,18.518145,14.117132,2480
2011-01-26,18.608871,18.649195,18.608871,18.649195,14.217041,992
2011-01-27,18.649195,18.921371,18.649195,18.870968,14.386110,2778
2011-01-28,18.870968,18.870968,18.669355,18.679436,14.240093,1786
2011-01-31,18.649195,18.850805,18.568548,18.568548,14.155559,3274
2011-02-01,18.588711,18.901211,18.588711,18.901211,14.409165,496
2011-02-02,18.931452,18.951612,18.931452,18.951612,14.447585,595
2011-02-03,18.407257,18.901211,18.407257,18.901211,14.409165,3075
2011-02-04,18.709677,18.750000,18.709677,18.750000,14.293889,2381
2011-02-07,18.901211,18.911289,18.588711,18.911289,14.416849,1686
2011-02-08,19.032257,19.032257,18.860888,19.002016,14.486014,4464
2011-02-09,18.578629,18.870968,18.568548,18.870968,14.386110,1587
2011-02-10,18.850805,18.850805,18.558468,18.840727,14.363052,3472
2011-02-11,18.800404,18.800404,18.477823,18.477823,14.086392,1389
2011-02-14,18.467743,18.830645,18.467743,18.750000,14.293889,1488
2011-02-15,18.760080,18.760080,18.497984,18.750000,14.293889,1587
2011-02-16,18.971773,18.971773,18.870968,18.870968,14.386110,992
2011-02-17,18.750000,18.981855,18.639112,18.981855,14.470640,1984
2011-02-18,18.971773,19.042339,18.971773,19.042339,14.516750,496
2011-02-22,18.981855,18.981855,18.417339,18.467743,14.078711,3472
2011-02-23,18.457661,18.457661,18.457661,18.457661,14.071026,694
2011-02-24,18.296371,18.296371,18.195564,18.195564,13.871219,2480
2011-02-25,18.437500,18.477823,18.437500,18.477823,14.086392,3075
2011-02-28,18.447580,18.447580,18.447580,18.447580,14.063338,496
2011-03-01,18.296371,18.558468,18.296371,18.366936,14.001866,2877
2011-03-02,18.437500,18.437500,18.256048,18.356855,13.994176,595
2011-03-03,18.659273,18.659273,18.377016,18.377016,14.009549,1686
2011-03-04,18.588711,18.598789,18.457661,18.457661,14.071026,3075
2011-03-07,18.649195,18.649195,18.346773,18.356855,13.994176,6448
2011-03-08,18.356855,18.497984,18.346773,18.477823,14.086392,5654
2011-03-09,18.276211,18.729839,18.276211,18.729839,14.278518,1389
2011-03-10,18.356855,18.356855,18.044355,18.054436,13.763631,6250
2011-03-11,18.356855,18.356855,18.205645,18.205645,13.878906,1488
2011-03-14,18.195564,18.266129,17.953629,18.266129,13.925014,3075
2011-03-15,17.903227,18.215727,17.903227,18.215727,13.886589,4662
2011-03-16,18.215727,18.286289,17.832661,18.054436,13.763631,20832
2011-03-17,17.862904,18.215727,17.852823,18.215727,13.886589,2877
2011-03-18,18.387096,18.387096,18.145161,18.145161,13.832796,5059
2011-03-21,18.437500,18.528227,18.437500,18.528227,14.124822,8134
2011-03-22,18.639112,18.639112,18.346773,18.447580,14.063338,6448
2011-03-23,18.497984,18.629032,18.497984,18.629032,14.201667,2083
2011-03-24,18.659273,18.709677,18.608871,18.699596,14.255466,5158
2011-03-25,18.739920,18.739920,18.719757,18.719757,14.270829,992
2011-03-28,18.820564,18.820564,18.316532,18.316532,14.026888,2480
2011-03-29,18.739920,18.739920,18.447580,18.447580,14.127245,794
2011-03-30,18.739920,18.780243,18.618952,18.649195,14.281645,2083
2011-03-31,18.800404,18.850805,18.558468,18.568548,14.219881,1190
2011-04-01,18.649195,18.649195,18.649195,18.649195,14.281645,2083
2011-04-04,19.052420,19.052420,18.860888,18.921371,14.490076,3869
2011-04-05,18.820564,18.891129,18.770161,18.891129,14.466919,1885
2011-04-06,18.770161,18.810484,18.770161,18.810484,14.405159,496
2011-04-07,18.800404,18.800404,18.598789,18.598789,14.243043,17459
2011-04-08,18.366936,18.366936,18.356855,18.356855,14.057768,397
2011-04-11,18.558468,18.598789,18.346773,18.346773,14.050046,1389
2011-04-12,18.528227,18.538305,18.397177,18.397177,14.088646,3075
2011-04-13,18.528227,18.538305,18.346773,18.346773,14.050046,2678
2011-04-14,18.417339,18.467743,18.417339,18.467743,14.142682,595
2011-04-15,18.457661,18.598789,18.296371,18.598789,14.243043,4365
2011-04-18,18.598789,18.598789,18.064516,18.326612,14.034607,1885
2011-04-19,18.286289,18.356855,18.276211,18.356855,14.057768,1091
2011-04-20,18.145161,18.568548,18.145161,18.568548,14.219881,1587
2011-04-21,18.598789,18.598789,18.598789,18.598789,14.243043,496
2011-04-25,18.578629,19.334677,18.477823,19.334677,14.806583,5654
2011-04-26,18.911289,18.911289,18.608871,18.760080,14.366558,1686
2011-04-27,18.397177,18.397177,18.397177,18.397177,14.088646,397
2011-04-28,18.306452,18.800404,18.306452,18.800404,14.397443,2083
2011-04-29,18.548388,18.598789,18.548388,18.548388,14.204443,7837
2011-05-02,18.568548,18.860888,18.568548,18.709677,14.327959,1984
2011-05-03,18.709677,18.709677,18.709677,18.709677,14.327959,0
2011-05-04,18.639112,18.639112,18.286289,18.286289,14.003726,496
2011-05-05,18.497984,18.548388,18.377016,18.377016,14.073209,794
2011-05-06,18.739920,18.739920,18.437500,18.437500,14.119531,794
2011-05-09,18.689516,18.689516,18.497984,18.558468,14.212164,3373
2011-05-10,18.699596,18.699596,18.699596,18.699596,14.320242,595
2011-05-11,18.689516,18.689516,18.387096,18.417339,14.104088,1885
2011-05-12,18.417339,18.538305,18.417339,18.447580,14.127245,3075
2011-05-13,18.598789,18.598789,18.387096,18.387096,14.080930,397
2011-05-16,18.366936,18.548388,18.366936,18.548388,14.204443,1984
2011-05-17,18.548388,18.669355,18.538305,18.669355,14.297080,4563
2011-05-18,18.750000,18.790323,18.750000,18.790323,14.389717,7936
2011-05-19,18.558468,18.770161,18.487904,18.770161,14.374280,1587
2011-05-20,18.770161,18.770161,18.770161,18.770161,14.374280,0
2011-05-24,18.387096,18.477823,18.387096,18.477823,14.150406,794
2011-05-25,18.558468,18.558468,18.427420,18.427420,14.111810,298
2011-05-26,18.649195,18.649195,18.447580,18.629032,14.266203,3075
2011-05-27,18.629032,18.790323,18.598789,18.750000,14.358842,794
2011-05-30,19.092743,19.092743,18.850805,18.951612,14.513232,1786
2011-05-31,18.850805,18.931452,18.850805,18.931452,14.497792,1885
2011-06-01,19.042339,19.042339,18.750000,18.750000,14.358842,893
2011-06-02,18.810484,18.810484,18.810484,18.810484,14.405159,99
2011-06-03,18.810484,18.810484,18.810484,18.810484,14.405159,0
2011-06-06,18.598789,18.598789,18.185484,18.185484,13.926531,1686
2011-06-07,18.387096,18.387096,18.155243,18.155243,13.903375,2182
2011-06-08,18.155243,18.356855,18.094757,18.356855,14.057768,893
2011-06-09,18.377016,18.407257,18.094757,18.407257,14.096366,3174
2011-06-10,18.145161,18.155243,17.943548,18.155243,13.903375,1091
2011-06-13,18.185484,18.185484,17.943548,17.943548,13.741253,1488
2011-06-14,18.094757,18.205645,18.094757,18.205645,13.941965,992
2011-06-15,18.094757,18.094757,18.014112,18.014112,13.795290,2381
2011-06-16,17.943548,17.943548,17.691532,17.691532,13.548259,893
2011-06-17,17.782257,17.782257,17.701612,17.701612,13.555981,1587
2011-06-20,17.560484,17.782257,17.560484,17.752016,13.594581,4662
2011-06-21,17.852823,18.034273,17.852823,18.034273,13.810733,3373
2011-06-22,18.024195,18.397177,17.651211,18.397177,14.088646,5654
2011-06-23,18.185484,18.649195,17.762096,17.832661,13.656336,3869
2011-06-24,17.832661,17.832661,17.832661,17.832661,13.656336,0
2011-06-27,18.074596,18.104839,17.842743,18.084677,13.926479,1587
2011-06-28,18.225805,18.225805,18.155243,18.155243,13.980827,1686
2011-06-29,18.296371,18.296371,17.993952,18.175404,13.996346,35712
