Date,Open,High,Low,Close,Adj Close,Volume
2011-01-04,7.919747,7.972545,7.866948,7.888068,7.760792,17804
2011-01-05,7.866948,7.983105,7.835269,7.983105,7.854295,46308
2011-01-06,7.940866,8.014784,7.919747,7.993664,7.864684,33997
2011-01-07,7.993664,7.993664,7.909187,7.940866,7.812738,19319
2011-01-10,7.961985,7.961985,7.835269,7.909187,7.781570,25190
2011-01-11,7.898627,7.983105,7.898627,7.972545,7.843906,19319
2011-01-12,7.972545,8.057022,7.972545,8.046463,7.916631,31535
2011-01-13,8.046463,8.120380,8.046463,8.078141,7.947798,33334
2011-01-14,8.099261,8.152059,8.078141,8.152059,8.020524,12974
2011-01-17,8.194298,8.268215,8.162619,8.247096,8.114026,53127
2011-01-18,8.215417,8.257656,8.173178,8.247096,8.114026,31535
2011-01-19,8.236536,8.247096,8.162619,8.162619,8.030912,27274
2011-01-20,8.194298,8.194298,8.067582,8.120380,7.989356,16478
2011-01-21,8.152059,8.152059,8.004224,8.004224,7.875073,17141
2011-01-24,7.993664,8.120380,7.993664,8.109820,7.978965,17993
2011-01-25,8.088701,8.088701,8.025343,8.067582,7.937410,10606
2011-01-26,8.088701,8.278775,8.088701,8.236536,8.103637,39016
2011-01-27,8.321014,8.342133,8.268215,8.278775,8.145195,38164
2011-01-28,8.321014,8.331573,8.215417,8.215417,8.082858,39111
2011-01-31,8.194298,8.236536,8.183738,8.215417,8.082858,27558
2011-02-01,8.247096,8.363252,8.247096,8.331573,8.197141,22444
2011-02-02,8.342133,8.416051,8.342133,8.405491,8.269866,33903
2011-02-03,8.606125,8.764520,8.606125,8.732841,8.591933,59850
2011-02-04,8.796199,8.796199,8.732841,8.743400,8.602322,62218
2011-02-07,8.711721,8.848997,8.711721,8.806758,8.664659,39585
2011-02-08,8.806758,8.944034,8.796199,8.944034,8.799719,26421
2011-02-09,8.933474,9.007392,8.933474,8.986272,8.841276,23770
2011-02-10,8.965153,9.091869,8.933474,9.091869,8.945168,37501
2011-02-11,9.070750,9.070750,8.996832,9.017951,8.872442,148490
2011-02-14,9.039071,9.049630,8.965153,8.965153,8.820498,39963
2011-02-15,8.933474,8.986272,8.859556,8.922914,8.778939,239970
2011-02-16,8.954593,9.060190,8.954593,9.028511,8.882833,46782
2011-02-17,9.007392,9.070750,8.996832,9.039071,8.893222,49339
2011-02-18,9.017951,9.060190,9.007392,9.049630,8.903612,60797
2011-02-22,9.007392,9.028511,8.891235,8.901795,8.758162,82578
2011-02-23,8.933474,8.933474,8.796199,8.848997,8.706216,30020
2011-02-24,8.796199,9.070750,8.796199,8.944034,8.799719,42047
2011-02-25,9.007392,9.007392,8.912355,8.922914,8.778939,15436
2011-02-28,8.912355,8.996832,8.912355,8.975713,8.830888,44888
2011-03-01,8.975713,9.028511,8.901795,8.901795,8.758162,42331
2011-03-02,8.901795,8.954593,8.870116,8.880676,8.737384,63923
2011-03-03,8.922914,9.007392,8.922914,8.986272,8.841276,15626
2011-03-04,8.975713,8.975713,8.880676,8.891235,8.747771,59377
2011-03-07,8.891235,8.891235,8.680042,8.722281,8.581545,28031
2011-03-08,8.680042,8.785639,8.658923,8.743400,8.602322,35134
2011-03-09,8.764520,8.764520,8.627244,8.648363,8.508820,52748
2011-03-10,8.606125,8.606125,8.437170,8.511088,8.373760,47918
2011-03-11,8.447730,8.606125,8.447730,8.585005,8.446483,7955
2011-03-14,8.553326,8.563886,8.458289,8.521647,8.384148,41195
2011-03-15,8.384372,8.585005,8.321014,8.585005,8.446483,54453
2011-03-16,8.542767,8.669483,8.542767,8.595565,8.456872,17141
2011-03-17,8.637804,8.637804,8.553326,8.563886,8.425705,21781
2011-03-18,8.627244,8.690602,8.542767,8.563886,8.425705,68089
2011-03-21,8.563886,8.690602,8.563886,8.690602,8.550378,38638
2011-03-22,8.701162,8.711721,8.637804,8.711721,8.571155,16857
2011-03-23,8.711721,8.775079,8.711721,8.764520,8.623101,30399
2011-03-24,8.764520,8.891235,8.764520,8.880676,8.737384,70646
2011-03-25,8.669483,8.732841,8.627244,8.648363,8.508820,68089
2011-03-28,8.658923,8.658923,8.511088,8.553326,8.415315,28315
2011-03-29,8.542767,8.669483,8.532207,8.669483,8.529597,18182
2011-03-30,8.711721,8.764520,8.711721,8.732841,8.591933,20455
2011-03-31,8.701162,8.732841,8.680042,8.732841,8.591933,13921
2011-04-01,8.743400,8.880676,8.743400,8.827878,8.685438,16857
2011-04-04,8.880676,8.922914,8.796199,8.806758,8.664659,51706
2011-04-05,8.785639,8.785639,8.701162,8.701162,8.560766,33997
2011-04-06,8.701162,8.764520,8.680042,8.743400,8.602322,31725
2011-04-07,8.764520,8.764520,8.627244,8.627244,8.488041,41857
2011-04-08,8.648363,8.648363,8.606125,8.616684,8.477653,36744
2011-04-11,8.595565,8.616684,8.553326,8.574446,8.436093,32861
2011-04-12,8.521647,8.563886,8.511088,8.563886,8.425705,47255
2011-04-13,8.606125,8.711721,8.606125,8.711721,8.571155,30020
2011-04-14,8.680042,8.701162,8.627244,8.701162,8.560766,31062
2011-04-15,8.701162,8.796199,8.701162,8.701162,8.560766,24906
2011-04-18,8.690602,8.753960,8.648363,8.743400,8.602322,41573
2011-04-19,8.680042,8.732841,8.669483,8.711721,8.571155,40058
2011-04-20,8.732841,8.753960,8.680042,8.680042,8.539986,23107
2011-04-21,8.701162,8.796199,8.701162,8.785639,8.643880,21970
2011-04-25,8.796199,8.827878,8.732841,8.753960,8.612713,43846
2011-04-26,8.764520,8.764520,8.669483,8.732841,8.591933,24433
2011-04-27,8.753960,8.753960,8.616684,8.669483,8.529597,32198
2011-04-28,8.627244,8.785639,8.627244,8.701162,8.560766,26516
2011-04-29,8.500528,8.553326,8.447730,8.468849,8.332201,44509
2011-05-02,8.489968,8.532207,8.447730,8.500528,8.363370,4830
2011-05-03,8.500528,8.500528,8.405491,8.426610,8.290644,32482
2011-05-04,8.479409,8.489968,8.394931,8.394931,8.259476,2557
2011-05-05,8.394931,8.437170,8.384372,8.384372,8.249087,16194
2011-05-06,8.405491,8.405491,8.321014,8.321014,8.186751,4735
2011-05-09,8.342133,8.394931,8.342133,8.384372,8.249087,13826
2011-05-10,8.373812,8.479409,8.373812,8.479409,8.342590,12311
2011-05-11,8.447730,8.447730,8.373812,8.373812,8.238697,13069
2011-05-12,8.342133,8.373812,8.342133,8.373812,8.238697,2746
2011-05-13,8.394931,8.394931,8.352693,8.352693,8.217919,1515
2011-05-16,8.342133,8.373812,8.299894,8.299894,8.165974,16099
2011-05-17,8.299894,8.342133,8.289335,8.331573,8.197141,5303
2011-05-18,8.394931,8.394931,8.394931,8.394931,8.259476,947
2011-05-19,8.437170,8.437170,8.363252,8.426610,8.290644,10606
2011-05-20,8.394931,8.426610,8.394931,8.426610,8.290644,8618
2011-05-24,8.394931,8.394931,8.321014,8.331573,8.197141,19887
