Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,31.670000,31.990000,31.660000,31.790001,26.534359,6877800
2011-01-04,31.850000,31.920000,31.719999,31.889999,26.617821,4161000
2011-01-05,31.770000,32.020000,31.770000,31.959999,26.676247,7962800
2011-01-06,32.009998,32.110001,31.969999,32.090000,26.784758,4966800
2011-01-07,32.119999,32.119999,31.889999,32.070000,26.768059,6199000
2011-01-10,31.920000,32.049999,31.879999,31.980000,26.692940,4481000
2011-01-11,32.060001,32.189999,32.009998,32.139999,26.826490,3356200
2011-01-12,32.279999,32.360001,32.180000,32.310001,26.968391,2886100
2011-01-13,32.220001,32.220001,32.049999,32.139999,26.826490,7414600
2011-01-14,32.080002,32.180000,32.060001,32.180000,26.859877,3907500
2011-01-18,32.189999,32.310001,32.169998,32.299999,26.960041,8160100
2011-01-19,32.330002,32.330002,31.959999,32.080002,26.776415,9936400
2011-01-20,32.070000,32.220001,31.950001,32.160000,26.843182,8811800
2011-01-21,32.259998,32.330002,32.150002,32.189999,26.868225,8079700
2011-01-24,32.180000,32.270000,32.119999,32.150002,26.834839,3711500
2011-01-25,32.040001,32.240002,32.029999,32.150002,26.834839,8002500
2011-01-26,32.180000,32.220001,32.080002,32.110001,26.801445,7671800
2011-01-27,32.150002,32.250000,32.049999,32.189999,26.868225,6871900
2011-01-28,32.209999,32.250000,31.580000,31.610001,26.384109,11096100
2011-01-31,31.770000,31.770000,31.559999,31.680000,26.442535,9021600
2011-02-01,31.809999,32.290001,31.809999,32.250000,26.918304,13051200
2011-02-02,32.150002,32.180000,32.040001,32.139999,26.826490,4627700
2011-02-03,32.029999,32.250000,31.790001,32.180000,26.859877,6316300
2011-02-04,32.250000,32.340000,32.060001,32.330002,26.985085,4380100
2011-02-07,32.320000,32.380001,32.250000,32.279999,26.943346,9145200
2011-02-08,32.250000,32.389999,32.250000,32.369999,27.018465,5160100
2011-02-09,32.279999,32.369999,32.200001,32.299999,26.960041,4933400
2011-02-10,32.189999,32.360001,32.180000,32.310001,26.968391,4383300
2011-02-11,32.169998,32.459999,32.139999,32.380001,27.026814,4341900
2011-02-14,32.439999,32.490002,32.310001,32.490002,27.118628,9054900
2011-02-15,32.369999,32.450001,32.290001,32.419998,27.060194,5502400
2011-02-16,32.500000,32.709999,32.470001,32.590000,27.202097,4256200
2011-02-17,32.509998,32.759998,32.450001,32.730000,27.318951,8772000
2011-02-18,32.709999,32.849998,32.650002,32.810001,27.385725,4583200
2011-02-22,32.480000,32.630001,32.230000,32.310001,26.968391,12072400
2011-02-23,32.220001,32.320000,31.990000,32.000000,26.709635,9817600
2011-02-24,31.940001,32.180000,31.870001,32.110001,26.801445,9063800
2011-02-25,32.209999,32.369999,32.139999,32.310001,26.968391,6129200
2011-02-28,32.430000,32.709999,32.310001,32.669998,27.268873,15415100
2011-03-01,32.770000,32.810001,32.400002,32.410000,27.051861,10264400
2011-03-02,32.360001,32.570000,32.310001,32.509998,27.135321,11750700
2011-03-03,32.709999,33.200001,32.709999,33.180000,27.694557,11733900
2011-03-04,33.160000,33.230000,32.900002,33.130001,27.652819,8793600
2011-03-07,33.209999,33.209999,32.680000,32.880001,27.444157,8359500
2011-03-08,32.900002,33.160000,32.779999,33.060001,27.594387,5795000
2011-03-09,33.049999,33.200001,32.939999,33.110001,27.636122,8000200
2011-03-10,32.849998,32.919998,32.560001,32.590000,27.202097,12703000
2011-03-11,32.590000,32.790001,32.470001,32.700001,27.293913,8004000
2011-03-14,32.549999,32.750000,32.400002,32.540001,27.160362,7608100
2011-03-15,31.990000,32.320000,31.840000,32.160000,26.843182,12855500
2011-03-16,32.110001,32.119999,31.440001,31.600000,26.375765,20826500
2011-03-17,31.920000,32.060001,31.809999,31.969999,26.684599,10301600
2011-03-18,32.160000,32.220001,31.889999,31.969999,26.806179,16696000
2011-03-21,32.209999,32.500000,32.169998,32.240002,27.032566,8783300
2011-03-22,32.349998,32.410000,32.200001,32.220001,27.015795,6413300
2011-03-23,32.160000,32.270000,31.950001,32.200001,26.999031,7349200
2011-03-24,32.320000,32.630001,32.200001,32.580002,27.317650,10593600
2011-03-25,32.580002,32.810001,32.570000,32.669998,27.393114,5281100
2011-03-28,32.680000,32.740002,32.650002,32.660000,27.384731,3925300
2011-03-29,32.630001,32.860001,32.590000,32.849998,27.544031,4031500
2011-03-30,33.009998,33.259998,33.009998,33.090000,27.745274,5202600
2011-03-31,33.070000,33.230000,33.020000,33.110001,27.762035,3280600
2011-04-01,33.230000,33.349998,33.169998,33.279999,27.904587,3929600
2011-04-04,33.389999,33.540001,33.389999,33.480000,28.072279,4286700
2011-04-05,33.349998,33.430000,33.290001,33.330002,27.946518,4311300
2011-04-06,33.430000,33.509998,33.360001,33.400002,28.005199,3954000
2011-04-07,33.320000,33.470001,33.230000,33.340000,27.954897,7031500
2011-04-08,33.400002,33.500000,33.230000,33.320000,27.938124,6907600
2011-04-11,33.419998,33.590000,33.419998,33.509998,28.097439,8928500
2011-04-12,33.369999,33.599998,33.369999,33.470001,28.063892,6200400
2011-04-13,33.459999,33.570000,33.369999,33.439999,28.038736,4442000
2011-04-14,33.419998,33.680000,33.290001,33.619999,28.189665,8316200
2011-04-15,33.790001,34.009998,33.750000,33.919998,28.441204,9761800
2011-04-18,33.700001,33.700001,33.349998,33.540001,28.122591,7603400
2011-04-19,33.599998,33.840000,33.540001,33.820000,28.357367,5456100
2011-04-20,34.180000,34.279999,34.070000,34.150002,28.634069,7116900
2011-04-21,34.360001,34.450001,34.130001,34.250000,28.717909,4828600
2011-04-25,34.139999,34.320000,34.110001,34.290001,28.751455,6363700
2011-04-26,34.340000,34.740002,34.340000,34.689999,29.086838,5800000
2011-04-27,34.650002,35.139999,34.630001,35.080002,29.413855,8745300
2011-04-28,35.080002,35.279999,35.049999,35.259998,29.564770,5219400
2011-04-29,35.330002,35.349998,35.189999,35.240002,29.547997,11660100
2011-05-02,35.480000,35.669998,35.430000,35.599998,29.849857,14846400
2011-05-03,35.520000,35.599998,35.330002,35.509998,29.774382,11291300
2011-05-04,35.459999,35.540001,35.290001,35.480000,29.749233,9434600
2011-05-05,35.419998,35.549999,35.150002,35.250000,29.556387,11700000
2011-05-06,35.509998,35.669998,35.360001,35.500000,29.765999,7405100
2011-05-09,35.320000,35.740002,35.320000,35.700001,29.933701,9030400
2011-05-10,35.849998,35.930000,35.639999,35.919998,30.118166,7764600
2011-05-11,35.959999,36.049999,35.669998,35.860001,30.067852,13491000
2011-05-12,35.730000,36.200001,35.630001,36.189999,30.344549,7867600
2011-05-13,36.250000,36.340000,35.889999,36.080002,30.252331,10091200
2011-05-16,36.000000,36.279999,35.930000,36.139999,30.302637,7557200
2011-05-17,35.970001,36.160000,35.889999,36.139999,30.302637,7397600
2011-05-18,36.139999,36.450001,36.080002,36.419998,30.537399,5666800
2011-05-19,36.570000,36.570000,36.169998,36.340000,30.470329,17052500
2011-05-20,36.360001,36.360001,35.930000,36.040001,30.218794,11701300
2011-05-23,35.660000,35.740002,35.509998,35.669998,29.908554,27910000
2011-05-24,35.660000,35.720001,35.529999,35.570000,29.824709,10177500
2011-05-25,35.410000,35.709999,35.410000,35.619999,29.866625,7239400
2011-05-26,35.540001,35.709999,35.330002,35.669998,29.908554,6576400
2011-05-27,35.669998,35.720001,35.520000,35.689999,29.925306,7043300
2011-05-31,35.950001,36.119999,35.810001,36.110001,30.277473,10185900
2011-06-01,35.990002,36.080002,35.580002,35.610001,29.858246,12042500
2011-06-02,35.619999,35.619999,35.389999,35.529999,29.791161,7603400
2011-06-03,35.130001,35.389999,35.130001,35.189999,29.506083,12026700
