Date,Open,High,Low,Close,Adj Close,Volume
2011-01-04,23.360001,23.360001,23.049999,23.160000,18.567413,33500
2011-01-05,23.090000,23.090000,22.940001,23.080000,18.503286,29500
2011-01-06,23.120001,23.120001,22.860001,22.860001,18.326914,20000
2011-01-07,22.850000,22.930000,22.790001,22.820000,18.294844,20600
2011-01-10,22.889999,22.889999,22.690001,22.820000,18.294844,25100
2011-01-11,23.000000,23.110001,22.959999,23.080000,18.503286,25400
2011-01-12,23.270000,23.320000,23.160000,23.250000,18.639570,33200
2011-01-13,23.240000,23.240000,23.070000,23.070000,18.495264,29100
2011-01-14,23.000000,23.080000,22.990000,23.080000,18.503286,16500
2011-01-17,23.080000,23.110001,23.000000,23.090000,18.511305,31500
2011-01-18,23.209999,23.260000,23.160000,23.250000,18.639570,61300
2011-01-19,23.299999,23.299999,23.100000,23.100000,18.519318,17300
2011-01-20,22.950001,22.950001,22.719999,22.870001,18.334930,42600
2011-01-21,22.910000,23.000000,22.820000,22.820000,18.294844,64000
2011-01-24,22.790001,22.860001,22.719999,22.770000,18.254761,34000
2011-01-25,22.770000,22.770000,22.600000,22.680000,18.182606,49600
2011-01-26,22.760000,23.059999,22.760000,23.059999,18.487247,15400
2011-01-27,23.129999,23.129999,22.950001,22.959999,18.407078,87000
2011-01-28,22.889999,23.100000,22.889999,23.080000,18.503286,17000
2011-01-31,23.059999,23.209999,23.059999,23.150000,18.559406,32300
2011-02-01,23.280001,23.430000,23.280001,23.389999,18.751810,44700
2011-02-02,23.469999,23.469999,23.360001,23.410000,18.767847,17200
2011-02-03,23.469999,23.680000,23.469999,23.680000,18.984314,18700
2011-02-04,23.750000,23.750000,23.600000,23.600000,18.920168,44300
2011-02-07,23.740000,23.790001,23.690001,23.709999,19.008358,26700
2011-02-08,23.750000,23.860001,23.740000,23.860001,19.128616,9900
2011-02-09,23.830000,23.870001,23.610001,23.620001,18.936205,18900
2011-02-10,23.580000,23.629999,23.500000,23.629999,18.944221,84200
2011-02-11,23.629999,23.660000,23.570000,23.600000,18.920168,14200
2011-02-14,23.690001,23.830000,23.690001,23.799999,19.080511,24800
2011-02-15,23.820000,23.900000,23.820000,23.860001,19.128616,16600
2011-02-16,23.889999,23.959999,23.879999,23.950001,19.200768,104800
2011-02-17,24.000000,24.000000,23.840000,23.969999,19.216799,16800
2011-02-18,23.950001,24.100000,23.930000,24.040001,19.272917,15100
2011-02-22,24.100000,24.100000,23.770000,23.770000,19.056461,161300
2011-02-23,23.840000,23.889999,23.690001,23.820000,19.096546,128400
2011-02-24,23.730000,23.809999,23.520000,23.520000,18.856033,22400
2011-02-25,23.600000,23.850000,23.600000,23.850000,19.120598,24500
2011-02-28,23.980000,24.100000,23.980000,24.020000,19.256887,12600
2011-03-01,24.190001,24.209999,24.110001,24.160000,19.369122,34100
2011-03-02,24.200001,24.200001,24.049999,24.150000,19.361107,28300
2011-03-03,24.150000,24.190001,24.090000,24.190001,19.393179,15700
2011-03-04,24.200001,24.340000,24.200001,24.340000,19.513430,151000
2011-03-07,24.450001,24.450001,24.070000,24.080000,19.304993,42200
2011-03-08,24.049999,24.049999,23.860001,23.889999,19.152670,90300
2011-03-09,23.910000,23.910000,23.600000,23.610001,18.928192,16300
2011-03-10,23.450001,23.450001,23.059999,23.129999,18.543369,55500
2011-03-11,22.799999,23.240000,22.740000,23.219999,18.615522,47000
2011-03-14,23.049999,23.049999,22.840000,22.990000,18.431128,17400
2011-03-15,22.309999,22.850000,22.309999,22.809999,18.286821,27300
2011-03-16,22.850000,23.070000,22.680000,22.809999,18.286821,201600
2011-03-17,23.020000,23.190001,22.930000,23.180000,18.583452,15800
2011-03-18,23.389999,23.459999,23.340000,23.360001,18.727766,54500
2011-03-21,23.610001,23.750000,23.580000,23.750000,19.040428,41400
2011-03-22,23.740000,23.740000,23.610001,23.709999,19.008358,16000
2011-03-23,23.799999,24.040001,23.790001,24.040001,19.272917,43600
2011-03-24,24.129999,24.129999,23.969999,23.969999,19.216799,67700
2011-03-25,23.809999,23.990000,23.809999,23.920000,19.284525,10000
2011-03-28,23.840000,23.840000,23.709999,23.709999,19.115217,19600
2011-03-29,23.740000,23.809999,23.709999,23.760000,19.155525,11000
2011-03-30,23.920000,24.020000,23.900000,24.020000,19.365143,11700
2011-03-31,24.150000,24.150000,24.090000,24.150000,19.469950,7800
2011-04-01,24.200001,24.200001,24.110001,24.110001,19.437698,23700
2011-04-04,24.360001,24.389999,24.309999,24.330000,19.615067,19600
2011-04-05,24.330000,24.440001,24.270000,24.440001,19.703749,7900
2011-04-06,24.610001,24.610001,24.379999,24.440001,19.703749,41500
2011-04-07,24.459999,24.490000,24.299999,24.350000,19.631197,17100
2011-04-08,24.520000,24.590000,24.459999,24.490000,19.744057,37000
2011-04-11,24.450001,24.450001,24.129999,24.129999,19.453823,20000
2011-04-12,24.000000,24.000000,23.700001,23.770000,19.163588,19400
2011-04-13,23.860001,23.950001,23.850000,23.879999,19.252274,80700
