DATE,CPIAUCSL,INDPRO,DGS3MO,WTISPLC_PCH,USD3MTD156N,HOUST_PCH,UNRATE,BAMLC0A4CBBBEY,BAMLC0A1CAAAEY,DGS10,THREEFFTP10_PCH,DGS5,DGS2,DGS1,DGS1MO
2011-01-01,221.187,93.4768,0.152,5.27591,0.3034105,5.67986,9.1,4.676190476,2.888095238,3.394,5.51848,1.9945,0.6145,0.2735,0.141
2011-02-01,221.898,93.0617,0.132105263,-2.3012,0.3119,-1.62866,9,4.7515,3.0615,3.576315789,-0.63281,2.257894737,0.772631579,0.286315789,0.114736842
2011-03-01,223.046,94.0244,0.100434783,6.30725,0.308434783,5.29801,9,4.615652174,2.957391304,3.414347826,-1.31911,2.113478261,0.697391304,0.259130435,0.064782609
2011-04-01,224.093,93.7011,0.0585,3.98818,0.281382222,8.01887,9.1,4.581428571,2.904761905,3.455,2.16578,2.169,0.7345,0.2465,0.0295
2011-05-01,224.806,93.849,0.040952381,-12.5947,0.260713,-15.13828,9,4.345,2.649090909,3.168571429,-14.08863,1.842380952,0.555238095,0.188095238,0.024285714
2011-06-01,224.806,94.0844,0.037272727,2.04496,0.247824091,-8.06175,9.1,4.308636364,2.516363636,3.002272727,-9.67699,1.58,0.410454545,0.180909091,0.019090909
2011-07-01,225.395,94.5881,0.0375,1.35368,0.249911905,1.86567,9,4.312272727,2.494090909,3.003,-10.68952,1.541,0.4065,0.185,0.0375
2011-08-01,226.106,95.1605,0.024347826,0.58924,0.293237727,9.70696,9,4.171304348,2.227826087,2.303043478,-19.81072,1.021304348,0.230434783,0.114782609,0.017391304
2011-09-01,226.597,95.0855,0.013809524,-1.96563,0.350226818,-0.83472,9,4.342272727,2.195909091,1.975238095,-5.12703,0.90047619,0.211428571,0.104761905,0.005714286
2011-10-01,226.75,95.6902,0.019,8.7505,0.406478571,-8.58586,8.8,4.605714286,2.30047619,2.152,-8.88133,1.0615,0.2805,0.1145,0.0135
2011-11-01,227.169,95.7307,0.014,2.73504,0.475291818,0.36832,8.6,4.451363636,2.195454545,2.0135,15.82122,0.908,0.2535,0.112,0.014
2011-12-01,227.223,96.2047,0.011428571,5.82363,0.5557375,-1.10092,8.5,4.548181818,2.317727273,1.978095238,43.49226,0.891428571,0.257142857,0.115238095,0.003333333
2012-01-01,227.842,96.7772,0.0345,0.42677,0.5659,16.88312,8.3,4.428571429,2.08,1.9665,6.32561,0.835,0.2405,0.115,0.0245
2012-02-01,228.329,97.051,0.092,0.17893,0.503240476,-17.93651,8.3,4.146190476,1.997142857,1.9675,7.72793,0.831,0.278,0.161,0.0635
2012-03-01,228.807,96.5714,0.084090909,14.91404,0.473288636,16.05416,8.2,4.08826087,2.026956522,2.172727273,-6.54092,1.017272727,0.344545455,0.19,0.063636364
2012-04-01,229.187,97.3139,0.083809524,6.89722,0.466807895,-7.66667,8.2,4.047,1.906,2.052857143,1.54927,0.894761905,0.291904762,0.183333333,0.066666667
2012-05-01,228.713,97.4669,0.089545455,-7.9153,0.466531818,1.26354,8.2,4.013478261,1.879130435,1.803181818,-11.89297,0.761818182,0.285,0.191818182,0.065909091
